-5.0 -4.2 -3.1 -2.2 -1.0 0.3 1.2 2.3 3.5 4.2 5.0
3.679 2.982 1.987 2.184 1.056 1.342 0.735 1.169 1.132 1.576 2.543
-0.224

3,679000	-0,764629	0,000000	-0,166596
2,982000	-1,084493	-0,399831	0,512199
1,987000	-0,104837	1,290427	-1,034147
2,184000	-0,295044	-1,501769	0,803588
1,056000	-0,427789	1,391148	-0,686807
1,342000	-0,292915	-1,287399	0,959419
0,735000	-0,278845	1,303032	-0,628054
1,169000	0,307991	-0,769545	0,405994
1,132000	0,214973	0,692031	-0,132877
1,576000	0,988488	0,412990	-0,172079
